hmm,param,layer,seed,R2,target
Mess3,"a=0.005, x=0.01",18,7,0.9789562001210574,real
Mess3,"a=0.005, x=0.01",19,7,0.9792472645726322,real
Mess3,"a=0.005, x=0.01",20,7,0.9801097043942126,real
Mess3,"a=0.005, x=0.01",21,7,0.9811957886197492,real
Mess3,"a=0.005, x=0.01",22,7,0.9807370999356037,real
Mess3,"a=0.005, x=0.01",23,7,0.9807796664755905,real
Mess3,"a=0.005, x=0.01",24,7,0.9811190757743682,real
Mess3,"a=0.005, x=0.01",25,7,0.9813355683920442,real
Mess3,"a=0.005, x=0.01",26,7,0.9814741524296244,real
Mess3,"a=0.005, x=0.01",27,7,0.9822603027605468,real
Mess3,"a=0.005, x=0.01",0,8,0.9493471556127936,real
Mess3,"a=0.005, x=0.01",1,8,0.9733171284055128,real
Mess3,"a=0.005, x=0.01",2,8,0.9825628869247552,real
Mess3,"a=0.005, x=0.01",3,8,0.9847871740435652,real
Mess3,"a=0.005, x=0.01",4,8,0.9855100737230872,real
Mess3,"a=0.005, x=0.01",5,8,0.9844422094894596,real
Mess3,"a=0.005, x=0.01",6,8,0.9834215109973504,real
Mess3,"a=0.005, x=0.01",7,8,0.980571108571366,real
Mess3,"a=0.005, x=0.01",8,8,0.9748891629248662,real
Mess3,"a=0.005, x=0.01",9,8,0.9730524903356804,real
Mess3,"a=0.005, x=0.01",10,8,0.9708667983504,real
Mess3,"a=0.005, x=0.01",11,8,0.9701562920472288,real
Mess3,"a=0.005, x=0.01",12,8,0.9746316659539428,real
Mess3,"a=0.005, x=0.01",13,8,0.9743086194646444,real
Mess3,"a=0.005, x=0.01",14,8,0.9777541263593454,real
Mess3,"a=0.005, x=0.01",15,8,0.9791587020287053,real
Mess3,"a=0.005, x=0.01",16,8,0.979293130677359,real
Mess3,"a=0.005, x=0.01",17,8,0.9795828165827232,real
Mess3,"a=0.005, x=0.01",18,8,0.9789116016339634,real
Mess3,"a=0.005, x=0.01",19,8,0.9791072525948152,real
Mess3,"a=0.005, x=0.01",20,8,0.9797899890322004,real
Mess3,"a=0.005, x=0.01",21,8,0.9808699646082562,real
Mess3,"a=0.005, x=0.01",22,8,0.9805836502169786,real
Mess3,"a=0.005, x=0.01",23,8,0.980870332058166,real
Mess3,"a=0.005, x=0.01",24,8,0.9814938784392152,real
Mess3,"a=0.005, x=0.01",25,8,0.9819836569367992,real
